date,equity,positions,return
2021-01-04,1000000.0,0,
2021-01-05,999723.4570899999,5,-0.00027654291000012154
2021-01-06,1008264.95709,5,0.00854386274466612
2021-01-07,1037026.85709,5,0.02852613273698501
2021-01-08,1026307.35709,5,-0.010336762183845494
2021-01-11,1004959.3025,3,-0.020800839478078426
2021-01-12,1013452.9914799999,5,0.00845177407569686
2021-01-13,1012562.39148,5,-0.0008787778096143173
2021-01-14,1006711.0376599999,4,-0.005778758789813931
2021-01-15,999120.97816,4,-0.007539461887337784
2021-01-18,1009466.1220200002,5,0.01035424546790309
2021-01-19,992453.52242,4,-0.016853066416886775
2021-01-20,1019804.61354,5,0.02755906498604288
2021-01-21,1042201.81354,5,0.021962246201508773
2021-01-22,1062826.11354,5,0.01978916149641541
2021-01-25,1061957.8314800002,4,-0.0008169558961135248
2021-01-26,1036250.0491200001,2,-0.02420791259119237
2021-01-27,1033949.9494200002,3,-0.0022196377234946496
2021-01-28,1006632.7534800001,2,-0.02642023045247388
2021-01-29,1006057.95348,2,-0.0005710126140967553
2021-02-01,1015116.9053100001,4,0.00900440357204535
2021-02-02,1035323.74665,5,0.019905925351355602
2021-02-03,1031997.54665,5,-0.003212714873741196
2021-02-04,1027620.5466499999,5,-0.0042412891524872265
2021-02-05,1018525.8729100002,3,-0.00885022566904492
2021-02-08,1024141.2872700001,5,0.005513276107514287
2021-02-09,1031546.08727,5,0.007230252399782255
2021-02-10,1057827.78727,5,0.025477969743024076
2021-02-18,1039729.4317700001,2,-0.01710898098707292
2021-02-19,1035549.6407400001,4,-0.004020075706508086
2021-02-22,1036111.93986,3,0.0005429958138927216
2021-02-23,1027312.94978,4,-0.008492316072710171
2021-02-24,1021163.94978,4,-0.005985517851514244
2021-02-25,1023851.1131400001,3,0.0026314710390815677
2021-02-26,1006930.48358,2,-0.016526455207053536
2021-03-01,1010943.6481700001,5,0.00398554285071584
2021-03-02,999135.04817,5,-0.011680769765333499
2021-03-03,1026507.34817,5,0.02739599621706268
2021-03-04,1000932.7373200001,4,-0.024914201438102634
2021-03-05,986775.3100100001,1,-0.014144234454661286
2021-03-08,962854.6518300001,3,-0.024241241078232556
2021-03-09,940351.6323800001,2,-0.023371148913525874
2021-03-10,931995.7430100001,5,-0.008885919992345337
2021-03-11,944320.6430100001,5,0.013224202033579324
2021-03-12,942953.06341,4,-0.0014482152964919726
2021-03-15,939056.2304400002,5,-0.004132584241157922
2021-03-16,941908.6304400002,5,0.0030375177838535272
2021-03-17,951257.8304400002,5,0.009925803520488552
2021-03-18,959736.33044,5,0.00891293582947772
2021-03-19,960418.0304400001,5,0.0007102992544707476
2021-03-22,966632.1304400001,5,0.006470203393779572
2021-03-23,961263.4304400001,5,-0.005554026015622049
2021-03-24,947064.8574300001,4,-0.014770740840001517
2021-03-25,949136.8192100002,5,0.002187771791704707
2021-03-26,961144.9192100001,5,0.012651600651204964
2021-03-29,969961.9080300002,4,0.009173422908219875
2021-03-30,982491.7806200002,2,0.012917901709612822
2021-03-31,973308.1115800003,4,-0.009347324039906568
2021-04-01,990936.4853600002,5,0.01811181225170655
2021-04-02,1012976.8853600002,5,0.022241990607493767
2021-04-06,1007760.6853600002,5,-0.00514937712339425
2021-04-07,990049.6854600002,4,-0.017574608890079113
2021-04-08,995650.9017400004,5,0.005657510286867895
2021-04-09,990415.8017400003,5,-0.005257967416944287
2021-04-12,969178.9530800002,3,-0.021442356455430467
2021-04-13,968815.2585200001,5,-0.00037526048088876163
2021-04-14,979521.8585200002,5,0.011051229742557789
2021-04-15,975034.2585200003,5,-0.004581418945341809
2021-04-16,980737.0585200002,5,0.005848820131362453
2021-04-19,991352.8585200002,5,0.010824308011792683
2021-04-20,991927.6978800001,4,0.0005798534346872497
2021-04-21,993819.0545000003,4,0.0019067484697146142
2021-04-22,1000096.9218400002,5,0.006316911827735527
2021-04-23,1013879.4218400003,5,0.013781164304198512
2021-04-26,1006982.8218400002,5,-0.006802189541912251
2021-04-27,1011759.3218400002,5,0.004743377837640006
2021-04-28,1030098.0663500002,4,0.018125599749008403
2021-04-29,1027990.5972300003,5,-0.002045891734820393
2021-04-30,1028984.8972300002,5,0.000967226745730132
2021-05-06,1019880.8898500002,3,-0.008847561713012375
2021-05-07,1004712.9413700001,2,-0.014872274430233534
2021-05-10,1024382.0671300001,5,0.01957686116113888
2021-05-11,1000769.4735300002,4,-0.02305057298216384
2021-05-12,1004926.9328300003,4,0.004154262704812117
2021-05-13,998845.2304300002,5,-0.006051885168281035
2021-05-14,1018477.8304300002,5,0.01965529733925675
2021-05-17,1041540.4304300002,5,0.022644184596794847
2021-05-18,1037907.2304300002,5,-0.0034882947352317117
2021-05-19,1046851.8304300002,5,0.008617918574759686
2021-05-20,1052234.2304300002,5,0.005141510807493255
2021-05-21,1048902.2304300002,5,-0.0031665953298614102
2021-05-24,1053721.83043,5,0.004594899181427081
2021-05-25,1072941.2304300002,5,0.01823953860019878
2021-05-26,1066997.4304300002,5,-0.0055397255985940586
2021-05-27,1082081.6304300001,5,0.014137053726475335
2021-05-28,1085409.2304300005,5,0.0030751838922522534
2021-05-31,1106971.7751900002,2,0.019865820333458295
2021-06-01,1114896.8472700003,4,0.007159235906118555
2021-06-02,1093759.0230300003,3,-0.018959443908877494
2021-06-03,1083966.6230300004,3,-0.008952977569842036
2021-06-04,1091959.2554200003,5,0.007373504146888088
2021-06-07,1108583.5554200003,5,0.015224285995548259
2021-06-08,1120240.9554200002,5,0.010515580844588035
2021-06-09,1127817.3554200002,5,0.0067631878332454765
2021-06-10,1130746.75542,5,0.0025974063849274476
2021-06-11,1095662.9274600002,3,-0.031027131222648108
2021-06-15,1095536.3274100001,4,-0.00011554653062273434
2021-06-16,1079944.89287,3,-0.01423178232424327
2021-06-17,1098242.5602900002,5,0.01694314917437434
2021-06-18,1122207.36029,5,0.021821044700427228
2021-06-21,1152318.3428900002,3,0.026831923996843976
2021-06-22,1151401.1847700002,5,-0.0007959242562257662
2021-06-23,1164753.1847700002,5,0.01159630559409841
2021-06-24,1154730.7847700003,5,-0.008604741443122954
2021-06-25,1160876.58477,5,0.00532227951402886
2021-06-28,1170745.3847700001,5,0.008501162078271562
2021-06-29,1158390.51057,4,-0.010552998423672966
2021-06-30,1178192.2904400001,5,0.017094217959586544
2021-07-01,1155043.3546800003,4,-0.019647841823302703
2021-07-02,1134665.9170000004,3,-0.017642140961579234
2021-07-05,1146771.8229500004,4,0.010669136852200056
2021-07-06,1130139.2042700003,4,-0.014503860617375186
2021-07-07,1159702.8038300003,4,0.026159254938064258
2021-07-08,1186831.5921300005,5,0.023392879805416822
2021-07-09,1174001.9921300004,5,-0.010809958283108156
2021-07-12,1192461.1921300003,5,0.015723312331446193
2021-07-13,1148166.2902500003,2,-0.03714578065293639
2021-07-14,1146120.2902500003,2,-0.0017819718427324327
2021-07-15,1148328.8958800002,5,0.0019270277725544904
2021-07-16,1131893.0958800004,5,-0.014312798414259698
2021-07-19,1130584.4958800003,5,-0.0011561162487546683
2021-07-20,1151023.6958800002,5,0.018078436485272187
2021-07-21,1188079.5958800004,5,0.03219386371682775
2021-07-22,1212045.8958800004,5,0.020172301656479874
2021-07-23,1210111.9958800003,5,-0.001595566641967805
2021-07-26,1219560.9958800003,5,0.007808368177631975
2021-07-27,1218303.2171900005,0,-0.0010313372551671307
2021-07-28,1218069.3446000007,2,-0.00019196583141201096
2021-07-29,1229205.7781000007,4,0.009142692531727059
2021-07-30,1189116.7418500008,3,-0.03261377139958288
2021-08-02,1198470.3196900005,5,0.00786598784695225
2021-08-03,1205668.8196900005,5,0.006006406568217715
2021-08-04,1221194.1196900005,5,0.01287691922230505
2021-08-05,1212597.3196900005,5,-0.0070396670450577625
2021-08-06,1197684.7738300005,4,-0.012298019810741745
2021-08-09,1193267.8533900008,5,-0.0036878822679486944
2021-08-10,1216962.3533900008,5,0.019856815829476515
2021-08-11,1206509.9533900004,5,-0.008588926330287738
2021-08-12,1190584.2525500008,4,-0.013199808915999589
2021-08-13,1181965.3961900007,3,-0.0072391822263230265
2021-08-16,1174555.9094800008,2,-0.006268784800201321
2021-08-17,1149634.3558000007,1,-0.021217852193203268
2021-08-18,1154023.3920500006,5,0.0038177671255708034
2021-08-19,1147862.1920500007,5,-0.005338886579287827
2021-08-20,1112420.2931500007,4,-0.03087644069598916
2021-08-23,1130990.8233900007,5,0.016693807506346747
2021-08-24,1149297.9233900006,5,0.01618678031809906
2021-08-25,1151634.6233900008,5,0.0020331542870171138
2021-08-26,1139825.0926900008,2,-0.01025458114939004
2021-08-27,1132214.2787800007,4,-0.006677177014973723
2021-08-30,1133120.0962900007,5,0.0008000407051711456
2021-08-31,1116941.5091700007,4,-0.01427791032298431
2021-09-01,1139900.9091700008,4,0.02055559741625257
2021-09-02,1120711.6445100005,5,-0.016834151552675425
2021-09-03,1123977.5445100009,5,0.0029141305134099404
2021-09-06,1160104.4445100005,5,0.03214201224611579
2021-09-07,1163356.8445100007,5,0.0028035406772135563
2021-09-08,1148006.9445100008,5,-0.013194489783970975
2021-09-09,1142091.2445100008,5,-0.005153017608726218
2021-09-10,1153188.9445100008,5,0.009716999454593811
2021-09-13,1142577.0445100009,5,-0.009202221414383205
2021-09-14,1142008.7445100008,5,-0.0004973844019803275
2021-09-15,1119612.5214500008,3,-0.01961125356321991
2021-09-16,1122540.5190400006,3,0.002615188320873596
2021-09-17,1112490.6321400008,5,-0.008952805470749947
2021-09-22,1096494.7381100007,4,-0.014378452786816043
2021-09-23,1109092.3353100007,5,0.011488971868405029
2021-09-24,1110703.2353100008,5,0.0014524489519169848
2021-09-27,1109917.0353100009,5,-0.0007078398396674901
2021-09-28,1097171.0209000008,3,-0.011483754194690832
2021-09-29,1093771.1330700007,5,-0.0030987765491757857
2021-09-30,1100574.4330700007,5,0.006220039818480627
2021-10-08,1120668.4088800007,3,0.018257716339955987
2021-10-11,1120498.3475200008,5,-0.00015174993660249658
2021-10-12,1114239.7475200007,5,-0.005585550406077999
2021-10-13,1127480.4146200009,4,0.011883140167518125
2021-10-14,1121063.3689300008,4,-0.005691491937944493
2021-10-15,1116218.2761300008,5,-0.004321872370715685
2021-10-18,1080932.593380001,3,-0.03161181240674327
2021-10-19,1090504.120260001,5,0.008854878591523008
2021-10-20,1090379.720260001,5,-0.00011407568086052589
2021-10-21,1091879.5202600008,5,0.0013754841291822029
2021-10-22,1099198.3202600009,5,0.006702937333468162
2021-10-25,1098722.0202600008,5,-0.00043331580045302687
2021-10-26,1095635.120260001,5,-0.002809536846516858
2021-10-27,1080610.920260001,5,-0.013712776929270643
2021-10-28,1081870.907380001,4,0.001165995175855583
2021-10-29,1092936.567980001,5,0.0102282633949351
2021-11-01,1081302.720920001,3,-0.010644576639522674
2021-11-02,1080454.024250001,4,-0.0007848835054052872
2021-11-03,1074461.607880001,5,-0.005546202092365449
2021-11-04,1096097.907880001,5,0.02013687584676971
2021-11-05,1093026.407880001,5,-0.0028022131763216773
2021-11-08,1089010.303580001,3,-0.0036742975934035416
2021-11-09,1098741.640080001,4,0.008935945296393744
2021-11-10,1096899.740080001,4,-0.001676372254232339
2021-11-11,1106293.192200001,5,0.008563637839238636
2021-11-12,1109987.792200001,5,0.003339621020945316
2021-11-15,1097953.6922000009,5,-0.010841650768202094
2021-11-16,1083573.4016900011,3,-0.013097356119988524
2021-11-17,1085747.087830001,5,0.0020060349733665994
2021-11-18,1081254.250130001,4,-0.004138014967168369
2021-11-19,1087262.531650001,5,0.005556770314916859
2021-11-22,1099748.531650001,5,0.011483886951435318
